Method,Model_Size_KB,Latency_ms_per_frame,AUC,F1,Accuracy,Miss_Rate,FAR,Precision,Recall,Utterances,Frames
Energy,0.0,0.0005817177656243183,0.5173,0.1900,0.5811,0.8829,0.0836,0.5030,0.1171,682,79547
Silero,,,0.9999,0.9996,0.9996,0.0005,0.0003,0.9996,0.9995,682,79529
Our Model,472.73828125,0.26216748443850074,0.7712,0.6441,0.7344,0.3741,0.1979,0.6634,0.6259,8216,786643
