method,val_count,val_f1,val_accuracy,val_precision,val_recall,test_count,test_f1,test_accuracy,test_precision,test_recall
energy_default,0,,,,,30,0.2810269254852849,0.5167508417508417,0.4876140808344198,0.19739619985925405
student,0,,,,,30,0.6613021214337966,0.6102693602693603,0.5659904833458552,0.7952146375791695
