epoch,train_loss,train_hard_loss,train_soft_loss,val_auc,val_f1,val_miss_rate,val_false_alarm_rate,val_accuracy,learning_rate,time
1,2.9070338560984683,0.6717691077635839,6.259930803225591,0.996933644991869,0.481480070116607,0.6828325426111403,0.00022393490958628025,0.7087044014386025,0.001,54.031033515930176
2,2.860670649088346,0.651978140267042,6.173709264168372,0.9973471118781266,0.5052426237503048,0.6619223335090494,0.00014928993972418683,0.7176635554033225,0.001,56.96970272064209
3,2.858432114124298,0.6515688930566494,6.168726788117335,0.9978935625435138,0.5043168168168168,0.6627507091397444,0.00014928993972418683,0.7173103271108067,0.001,56.98229432106018
4,2.8554272078550778,0.6499001251963469,6.163717659620138,0.9984769871745062,0.4885331107612345,0.6767577879860431,5.598372739657006e-05,0.7113910772392533,0.001,56.76552748680115
5,2.856399893760681,0.6508043414125075,6.16479306954604,0.9986603526076171,0.5021804511278195,0.6646835856113663,9.330621232761677e-05,0.716518239424559,0.001,57.33552932739258
6,2.8529486381090603,0.6485373842028471,6.159565361646505,0.9990937804229941,0.49991528136001656,0.6667168712503452,5.598372739657006e-05,0.7156726323000514,0.001,56.00589942932129
7,2.855187883743873,0.6503743242758971,6.162408030950106,0.9992274143967803,0.4870787050223108,0.6780380048698447,3.7322484931046706e-05,0.7108558828566536,0.001,56.79069995880127
8,2.854868606879161,0.6503251498708358,6.161683591512533,0.9993183587348574,0.5015984053555982,0.6652107337399905,7.464496986209341e-05,0.7163041616715191,0.001,56.5200777053833
9,2.855909920655764,0.6510696921211022,6.1631700946734504,0.9993299596503294,0.48310392750395037,0.6815021211436604,3.7322484931046706e-05,0.7093787463606782,0.001,56.76650094985962
10,2.8539331761690288,0.649665892124176,6.160333940616021,0.9993588003272253,0.5076974941004607,0.6597635364108743,5.598372739657006e-05,0.718637609179654,0.001,53.40595769882202
11,2.853317439556122,0.6492369536023873,6.1594380002755384,0.9994996731036279,0.5031373285741123,0.6638552099806713,3.7322484931046706e-05,0.7169035793800308,0.001,55.73111820220947
12,2.854014745125404,0.6499749450729444,6.160074316538298,0.9994507981867601,0.49905809660161254,0.6674950422973618,1.8661242465523353e-05,0.7153622195581435,0.001,56.586204051971436
13,2.854531311071836,0.6501874459477571,6.161046977226551,0.9996785632956341,0.49449199780813635,0.6715365112834801,1.8661242465523353e-05,0.7136388936461723,0.001,56.58861827850342
14,2.855306015564845,0.6508157820655749,6.1620412056262674,0.9996282144324496,0.49671722888838576,0.6695534302281798,5.598372739657006e-05,0.7144630929953759,0.001,56.733574867248535
15,2.854003663246448,0.6499369310644957,6.160103550324073,0.9996436197830116,0.4901269660792117,0.6753771619348846,1.8661242465523353e-05,0.712001198835417,0.001,56.835951805114746
16,2.854336280089158,0.6502886958993398,6.160407506502592,0.9997281902928488,0.4929542832283569,0.6728920350427994,1.8661242465523353e-05,0.7130608837129645,0.001,56.56949234008789
17,2.853320477100519,0.6496117923122186,6.158883278186504,0.999754637710017,0.4750129194020709,0.6885056605668097,1.8661242465523353e-05,0.7064030655934236,0.001,53.54306197166443
18,2.8548881136454067,0.6507410659239843,6.161108548824604,0.9998434213688044,0.4800167878059482,0.6841880663704596,1.8661242465523353e-05,0.7082441342695667,0.001,56.60580849647522
19,2.8561159464029164,0.6514334523907075,6.163139494565817,0.999793310238897,0.483488456194446,0.6811757913497503,1.8661242465523353e-05,0.7095286007878061,0.001,56.56917190551758
20,2.853718422926389,0.6499223944086295,6.159412329013531,0.9997508171137486,0.4973880245167374,0.6689760775158772,1.8661242465523353e-05,0.7147306901866758,0.001,56.17223310470581
