epoch,train_loss,train_hard_loss,train_soft_loss,val_auc,val_f1,val_miss_rate,val_false_alarm_rate,val_accuracy,learning_rate,time
1,2.909257323054944,0.6717490073987993,6.265519631111015,0.9997989794954555,0.651977116992519,0.5161651504548636,4.0609240124974934e-05,0.9493120363312572,0.001,169.40514850616455
2,2.858188574596987,0.6500842727847018,6.170344869969255,0.9998154310273134,0.6079927279810408,0.5631443900163284,2.0304620062487467e-05,0.9447202708363377,0.001,102.58949518203735
3,2.8556725635366926,0.6500697322821213,6.16407662731106,0.9998474470959932,0.6176091301824747,0.5531373921156987,2.2842697570298402e-05,0.9456999695560911,0.001,64.24112200737
4,2.8547940900770286,0.6498173808647414,6.162258976596897,0.999853049367775,0.62663954773306,0.5436435735945883,1.7766542554676535e-05,0.9466361769775379,0.001,80.32815217971802
5,2.8522580478150967,0.6483968203350648,6.158049704664845,0.9998860231507256,0.618284940865586,0.5524609283881502,1.52284650468656e-05,0.9457732180585027,0.001,64.00938582420349
6,2.8531225151934865,0.6493649381702229,6.158758741314128,0.9998891879326761,0.6132798602800866,0.5576860275250758,1.52284650468656e-05,0.9452604785416223,0.001,77.1177864074707
7,2.8527145810046437,0.6490570928080607,6.158200651912366,0.9998565706468963,0.6298432581846071,0.5402379286214136,1.7766542554676535e-05,0.9469703732697903,0.001,131.43480896949768
8,2.8517573748604725,0.6486551645448653,6.156410496113664,0.9999058417055597,0.631153821595045,0.5388616748308841,1.2690387539054667e-05,0.9471100032275122,0.001,79.08455967903137
9,2.8515337018643394,0.6483460942567405,6.156314938755359,0.9998488688219851,0.6415195969709452,0.5277116864940518,1.2690387539054667e-05,0.9482041527322836,0.001,43.9532687664032
10,2.8520613039954235,0.6487112631232052,6.157086234981731,0.999894806248755,0.6370615255018517,0.5325169115931887,1.52284650468656e-05,0.9477303264823094,0.001,90.66833782196045
11,2.851382203021292,0.6483669816437414,6.15590486688129,0.999907286195508,0.6384566529056843,0.5310240261254957,1.2690387539054667e-05,0.9478791125028326,0.0005,135.23356771469116
12,2.853798708673251,0.6500603960732282,6.159406015428446,0.9998896627787374,0.6334443576790069,0.5364124096104502,1.2690387539054667e-05,0.9473503498760498,0.0005,64.66929721832275
13,2.852718444193824,0.6494288813259642,6.1576526488287975,0.999882530319149,0.6414233432088594,0.5278049918357826,1.52284650468656e-05,0.9481927076537818,0.0005,83.4511022567749
14,2.8537827406899403,0.6502278154179201,6.159114995245206,0.9999087904223394,0.6367032862207667,0.5329134592955447,1.2690387539054667e-05,0.9476937022311036,0.0005,54.008233308792114
15,2.8516022310418596,0.6485338514134035,6.156204651978056,0.9998455959926482,0.648724453618644,0.519827385117798,2.0304620062487467e-05,0.9489709729919038,0.0005,67.88397741317749
16,2.8507899086354143,0.6480497333963039,6.154900001267255,0.99987153210169,0.6358675766397811,0.5338231863774201,1.0152310031243734e-05,0.94760671963449,0.0005,102.88345742225647
17,2.8510122238579445,0.6487231754650504,6.15444561990641,0.9998563306040865,0.6302455232344532,0.5398413809190576,1.0152310031243734e-05,0.9470161535837974,0.00025,96.86304378509521
18,2.8536956492116894,0.650671124458313,6.158232244394593,0.9998887712249892,0.6381856875138964,0.5313272684861209,1.0152310031243734e-05,0.9478516443144284,0.00025,56.63350248336792
19,2.850685651019468,0.6486398385742963,6.153754246436943,0.9999163774210013,0.6285787402834202,0.5416375087473758,5.076155015621867e-06,0.9468444774062705,0.00025,58.21308374404907
20,2.852872195890394,0.6504201747603335,6.156550080089246,0.999907584317488,0.6306156671724028,0.5394681595521343,5.076155015621867e-06,0.9470573558664039,0.00025,56.77194833755493
1,2.8974795745590987,0.6657120555134143,6.245130676334187,0.9997166807189545,0.6557813748687654,0.5118964310706788,5.583770517184054e-05,0.9497171921102207,0.001,66.48241782188416
2,2.85856539920225,0.6507726038916636,6.170254472958839,0.9997727454124437,0.6436421715135127,0.5252857476090507,4.0609240124974934e-05,0.9484170311924169,0.001,38.31685519218445
3,2.8563268851425687,0.6504709513510688,6.165110628483659,0.999820136624197,0.6357099678661194,0.5339164917191509,2.791885258592027e-05,0.947581540461786,0.001,38.62619113922119
4,2.8536489555391213,0.6492235564579398,6.160286899340355,0.999832242253361,0.6284306826178747,0.5417308140891066,2.0304620062487467e-05,0.9468215872492669,0.001,38.334898948669434
5,2.854441315440808,0.6501967831183288,6.160807949001506,0.9998244195929891,0.6214069834737316,0.549171915092139,1.7766542554676535e-05,0.9460936802565528,0.001,38.67800498008728
6,2.8533088029441185,0.6496680697142068,6.1587697934296175,0.9998178501342884,0.6386005016350763,0.5308140891066013,2.5380775078109334e-05,0.9478882685656341,0.001,38.72314453125
7,2.852744328773628,0.6492467532723637,6.157990483914391,0.9997726113448786,0.6413067587692892,0.5278982971775135,2.2842697570298402e-05,0.9481766845438793,0.001,38.26555609703064
8,2.8529430284338484,0.64950147725768,6.158105199619875,0.9998343564890944,0.645587213342599,0.5232563564264054,2.0304620062487467e-05,0.948634487683951,0.001,38.24101638793945
9,2.852490988828368,0.649108887223874,6.157563989445315,0.9998445430486668,0.6334459459459459,0.5363890832750174,1.7766542554676535e-05,0.9473480608603494,0.001,38.44426250457764
10,2.8541277465173756,0.6505523778624454,6.159490649983034,0.9998567855871902,0.6174829910037726,0.5533006764637276,1.52284650468656e-05,0.9456908134932898,0.0005,38.49026155471802
11,2.8522834373732744,0.6495405258768696,6.156397649797342,0.9997674280305374,0.6212618174802238,0.549335199440168,1.52284650468656e-05,0.9460799461623507,0.0005,39.005207538604736
12,2.8513604119672613,0.6489742883181168,6.154939409029686,0.9998552453346956,0.619940452241088,0.5507347795661302,1.2690387539054667e-05,0.9459448942360296,0.0005,38.452940702438354
13,2.853652232784336,0.6507325788675729,6.15803155252489,0.9998570820514568,0.6237059626033223,0.5467693025425706,1.2690387539054667e-05,0.9463340269050905,0.0005,38.37584948539734
14,2.8517131360910706,0.6491597825187748,6.155542991929135,0.9997779958345727,0.6424557126347619,0.5266853277350129,1.52284650468656e-05,0.948302580407399,0.0005,38.66700577735901
15,2.8514063964455816,0.6492328850899712,6.154666520781436,0.9998595791301621,0.6303785337805462,0.5396780965710287,1.52284650468656e-05,0.9470275986622992,0.0005,38.68913817405701
