epoch,batch,batch_time,total_loss,hard_loss,soft_loss,learning_rate,grad_norm,data_load_time
0,0,0.5288028717041016,3.2237303256988525,0.8303335905075073,6.8138251304626465,0.001,0.5351693566298656,0.0
0,1,0.04000067710876465,3.2133841514587402,0.8277915120124817,6.791772842407227,0.001,0.5073114019930306,0.0
0,2,0.04300093650817871,3.185098886489868,0.8114827871322632,6.745522975921631,0.001,0.48878634554380035,0.0
0,3,0.09636831283569336,3.225553512573242,0.8525645136833191,6.785036563873291,0.001,0.5209576506456051,0.0
0,4,0.02300095558166504,3.109992027282715,0.7569600939750671,6.6395392417907715,0.001,0.44612331805175043,0.0
0,5,0.02600240707397461,3.136627674102783,0.7804604768753052,6.6708784103393555,0.001,0.4834496102294612,0.0
0,6,0.02899622917175293,3.1112020015716553,0.7664710283279419,6.628297805786133,0.001,0.48359881698633306,0.0
0,7,0.02700066566467285,3.0908477306365967,0.753099262714386,6.597470760345459,0.001,0.4768585472638267,0.0
0,8,0.024997949600219727,3.0739808082580566,0.7448927164077759,6.567612648010254,0.001,0.48552604627320567,0.0
0,9,0.03300023078918457,3.08640193939209,0.7611634135246277,6.5742597579956055,0.001,0.510262911966818,0.0
0,10,0.024001598358154297,3.046274423599243,0.7301626801490784,6.52044153213501,0.001,0.47726210393037755,0.0
0,11,0.026993513107299805,3.035550355911255,0.7273722290992737,6.497817516326904,0.001,0.4829203143413852,0.0
0,12,0.021999835968017578,3.0086019039154053,0.6996805667877197,6.471983909606934,0.001,0.4418013347410848,0.0
0,13,0.02499985694885254,3.029693841934204,0.7257266640663147,6.485644340515137,0.001,0.4800289944974278,0.0
0,14,0.031998395919799805,3.0292210578918457,0.7312749028205872,6.476140022277832,0.001,0.4863499431955721,0.0
0,15,0.04387021064758301,3.0344016551971436,0.7397728562355042,6.476345062255859,0.001,0.49501633710289056,0.0
0,16,0.025005578994750977,2.98982310295105,0.7006213068962097,6.423625946044922,0.001,0.43020185529663263,0.0
0,17,0.0299990177154541,3.0008037090301514,0.7177737951278687,6.425348281860352,0.001,0.4503299140290807,0.0
0,18,0.020000696182250977,2.944653034210205,0.6659046411514282,6.3627753257751465,0.001,0.37071796897857023,0.0
0,19,0.026998519897460938,2.9709925651550293,0.694789707660675,6.38529634475708,0.001,0.4023627536270613,0.0
0,20,0.021435022354125977,2.9451382160186768,0.6751281023025513,6.350152969360352,0.001,0.36735269582765023,0.0
0,21,0.029001712799072266,2.9561240673065186,0.6848955154418945,6.362967014312744,0.001,0.36957137453131406,0.0
0,22,0.021998167037963867,2.926238536834717,0.6656329035758972,6.3171467781066895,0.001,0.34107993062369707,0.0
0,23,0.03199911117553711,2.9500534534454346,0.6875717043876648,6.343775749206543,0.001,0.35841212707179365,0.0
0,24,0.06499838829040527,2.9575018882751465,0.6968935132026672,6.348414421081543,0.001,0.3590306351267744,0.0
0,25,0.04399919509887695,2.9506497383117676,0.6884346604347229,6.343972206115723,0.001,0.33108175457125333,0.0
0,26,0.17299985885620117,2.982689619064331,0.7257375121116638,6.368117809295654,0.001,0.37384952552391143,0.0
0,27,0.02700018882751465,2.9185822010040283,0.6741535067558289,6.285224914550781,0.001,0.3079074790988979,0.0
0,28,0.02499866485595703,2.9047391414642334,0.6643053293228149,6.265389919281006,0.001,0.28508893518670886,0.0
0,29,14.28000259399414,2.988884210586548,0.7329517602920532,6.3727827072143555,0.001,0.36011370816439076,0.0
0,30,0.024994850158691406,2.918523073196411,0.6737654805183411,6.2856597900390625,0.001,0.26995262978543133,0.0
0,31,0.0189971923828125,2.8880083560943604,0.6499679684638977,6.245068550109863,0.001,0.24486542098070996,0.0
0,32,0.038004398345947266,2.9303407669067383,0.6848968267440796,6.298506736755371,0.001,0.26747556679146806,0.0
0,33,0.02899956703186035,2.9098284244537354,0.669230580329895,6.270725250244141,0.001,0.24818437053558726,0.0
0,34,0.01900029182434082,2.898700475692749,0.6487362384796143,6.273646831512451,0.001,0.20937668209458976,0.0
0,35,0.025036334991455078,2.898524761199951,0.6668247580528259,6.246074199676514,0.001,0.22842603846369572,0.0
0,36,0.041219472885131836,2.9160895347595215,0.6722569465637207,6.281838417053223,0.001,0.2239982501475592,0.0
0,37,0.0200197696685791,2.888052225112915,0.6577960252761841,6.233436584472656,0.001,0.20430327418493419,0.0
0,38,0.022326231002807617,2.8876800537109375,0.6547863483428955,6.237020492553711,0.001,0.19810353203302716,0.0
0,39,0.02100372314453125,2.887730598449707,0.6572407484054565,6.233465194702148,0.001,0.1928365456072213,0.0
0,40,0.018999338150024414,2.8665695190429688,0.6431876420974731,6.201642036437988,0.001,0.17781693694844178,0.0
0,41,0.04900097846984863,2.908378839492798,0.6786549091339111,6.252964496612549,0.001,0.20379778164095294,0.0
0,42,0.028000831604003906,2.88409161567688,0.6566544771194458,6.225247383117676,0.001,0.1794783137073417,0.0
0,43,0.023000240325927734,2.89233136177063,0.6637888550758362,6.235145092010498,0.001,0.17985563087110903,0.0
0,44,0.021997690200805664,2.874504566192627,0.6477638483047485,6.214615345001221,0.001,0.16468324726627281,0.0
0,45,0.04433584213256836,2.891417980194092,0.6665956974029541,6.22865104675293,0.001,0.17913003535075803,0.0
0,46,0.027213096618652344,2.873960018157959,0.653937816619873,6.20399284362793,0.001,0.1679984541809565,0.0
0,47,0.04050159454345703,2.8978328704833984,0.6722424626350403,6.236217975616455,0.001,0.1725358010447356,0.0
0,48,0.036049842834472656,2.8954193592071533,0.6718195676803589,6.230819225311279,0.001,0.16725003045071535,0.0
0,49,0.016465425491333008,2.8574588298797607,0.636789858341217,6.188462257385254,0.001,0.13591045671234453,0.0
0,50,0.023342609405517578,2.8677587509155273,0.6524839401245117,6.190670490264893,0.001,0.14730106901051243,0.0
0,51,0.017095565795898438,2.85581636428833,0.635688841342926,6.186007976531982,0.001,0.12764016677493947,0.0
0,52,0.022999286651611328,2.8802337646484375,0.6566005349159241,6.215683460235596,0.001,0.1383071982026485,0.0
0,53,0.01799917221069336,2.857060670852661,0.6372855305671692,6.186722755432129,0.001,0.12442212454340426,0.0
0,54,0.03000044822692871,2.875305414199829,0.6588196754455566,6.200034141540527,0.001,0.13835456489529144,0.0
0,55,0.039992332458496094,2.902409315109253,0.6756182909011841,6.242595672607422,0.001,0.1413632266052911,0.0
0,56,0.0429987907409668,2.8942928314208984,0.6719927787780762,6.227742671966553,0.001,0.1394441656300627,0.0
0,57,0.022052526473999023,2.8510096073150635,0.6423068642616272,6.164063453674316,0.001,0.12421546556607957,0.0
0,58,0.036988258361816406,2.8970258235931396,0.6696301102638245,6.238119602203369,0.001,0.13098037087370606,0.0
0,59,0.017998695373535156,2.8776466846466064,0.6451790928840637,6.226347923278809,0.001,0.10846219830793385,0.0
0,60,0.02831888198852539,2.892693042755127,0.6656327247619629,6.233283042907715,0.001,0.12157629838992534,0.0
0,61,0.0690007209777832,2.8967819213867188,0.6723586916923523,6.233416557312012,0.001,0.1246933357632401,0.0
0,62,0.04001665115356445,2.8934390544891357,0.6737710237503052,6.2229413986206055,0.001,0.12400160144815178,0.0
