epoch,train_loss,train_hard_loss,train_soft_loss,val_auc,val_f1,val_miss_rate,val_false_alarm_rate,val_accuracy,learning_rate,time
1,2.9010880884723127,0.6674648211381146,6.251522817344309,0.999697550992238,0.6940313640665134,0.4682118347792309,7.412835038760574e-05,0.9534978092141423,0.001,38.80751967430115
2,2.860730933251782,0.6518774127291742,6.174011065581134,0.9996586492056654,0.7138411356487876,0.44459406966204845,7.697944078712904e-05,0.9558375582368925,0.001,37.727320432662964
3,2.859176885301822,0.6522478750932996,6.169570241018991,0.9997425620420113,0.7119429352354921,0.4468729768224783,7.983053118665234e-05,0.9556089768285229,0.001,37.656099796295166
4,2.8575232274064395,0.6519887926422547,6.165824702966993,0.9997196356647288,0.7288188561935622,0.4262592256894989,7.697944078712904e-05,0.9576559361821254,0.001,37.59899711608887
5,2.855707903888738,0.6510568690077166,6.162684248986645,0.9996563785593204,0.6962360602635264,0.46564806422374727,6.842616958855915e-05,0.9537572105876854,0.001,37.562480449676514
6,2.8553901788230256,0.6511552205709653,6.1617424376657075,0.999494382172234,0.7192642306736267,0.4379904182312573,7.983053118665234e-05,0.956489914166397,0.001,37.446812868118286
7,2.8533968970040293,0.6500073208987156,6.158481107693967,0.9995826469915254,0.7017873941674506,0.4590703094652337,7.127725998808244e-05,0.9544069981867587,0.001,37.63118767738342
8,2.854167508187695,0.6510525161974898,6.158839822929596,0.9996409025615403,0.6943519910794236,0.46784928136734427,7.127725998808244e-05,0.953536334170609,0.0005,37.553958892822266
9,2.8552095110171307,0.6517636079654515,6.16037821101251,0.9996316211049459,0.7059611520428667,0.45409814838793217,7.127725998808244e-05,0.9549001176295338,0.0005,37.28015208244324
10,2.855519793858038,0.6520587478842691,6.160711190410864,0.9996184729008355,0.716489794562636,0.4413828822996245,7.697944078712904e-05,0.9561560312103514,0.0005,37.58529233932495
11,2.854334797814628,0.6511849805573436,6.1590593507356735,0.999646327791929,0.7073150332045298,0.4524925547067202,6.842616958855915e-05,0.9550619224466943,0.0005,37.709107637405396
12,2.855957147116973,0.6524088722523128,6.161279375308028,0.9996964668173987,0.7028451531682753,0.4578272691959083,6.842616958855915e-05,0.9545328463778836,0.0005,37.4543616771698
13,2.854590210959176,0.6514613171604192,6.1592834419179185,0.9996978750485832,0.7024531121446681,0.4582934092969054,6.842616958855915e-05,0.9544866164301234,0.0005,37.528438091278076
