epoch,train_loss,train_hard_loss,train_soft_loss,val_auc,val_f1,val_miss_rate,val_false_alarm_rate,val_accuracy,learning_rate,time
1,2.9062822142851004,0.6696571754020395,6.261219598714588,0.9968955983036191,0.5775267650401155,0.5934707035713856,0.0009194071526471264,0.7535144566301096,0.001,42.275747537612915
2,2.857653182687111,0.6502802036340954,6.168712449305266,0.9976715149919821,0.5667300920385374,0.6041042666570435,0.0008683289775000639,0.7491375872382852,0.001,42.442033529281616
3,2.8546024595649495,0.6494127511978149,6.162386880337613,0.9978201275282126,0.5619060783026366,0.6087955444889515,0.0008598159483088867,0.747198404785643,0.001,42.79213905334473
4,2.8518026546367166,0.6485346399464653,6.156704485995098,0.998320825498146,0.5631548965112465,0.6075806238196625,0.0008683289775000639,0.7476969092721835,0.001,43.26310110092163
5,2.8515141102874164,0.6486522694235867,6.15580672662235,0.9980658368595328,0.5786323545734753,0.5924001299123092,0.000876842006691241,0.7539830508474576,0.001,43.32516098022461
6,2.852466530012853,0.6495020088640232,6.156913178638347,0.9980975395551444,0.5539330234982409,0.6164820227827698,0.0008427898899265326,0.7440229312063809,0.001,44.25202250480652
7,2.8507675360707405,0.6484498919792545,6.154243825708778,0.9976551189139395,0.5654751645927407,0.6053312162438502,0.0008598159483088867,0.7486340977068794,0.001,43.389739751815796
8,2.851670170293271,0.6494350387054739,6.1550226998560635,0.9980956093187311,0.5603189566450743,0.6103352459312187,0.0008513029191177096,0.7465653040877368,0.001,43.323145389556885
9,2.8512968044836544,0.6494852836849621,6.154013916126733,0.9983422114976752,0.5540538192936435,0.6163617336075926,0.0008513029191177096,0.7440677966101695,0.001,43.193214893341064
10,2.849226565036959,0.6482186010740336,6.150738350396018,0.9982450801929342,0.5523610748760762,0.6179856374724838,0.0008427898899265326,0.7433998005982054,0.001,43.20049452781677
11,2.849092964987153,0.6481029437583627,6.150577804417286,0.9986508120059344,0.558541083969069,0.6120553811362516,0.0008427898899265326,0.7458574277168495,0.0005,43.786121129989624
12,2.849357005461906,0.6483645907883505,6.150845481354056,0.9985051217305876,0.5571840898650464,0.6133665331456822,0.0008342768607353555,0.7453190428713858,0.0005,43.28802704811096
13,2.8498608788240305,0.6487819135767742,6.1514791933078214,0.9985858380640199,0.5690634804658959,0.6018308012461958,0.0008598159483088867,0.7500847457627119,0.0005,43.3904082775116
14,2.851378234844763,0.649962355789629,6.153501908755997,0.9982644353967697,0.5556317191472377,0.6148581189178786,0.0008342768607353555,0.7447008973080758,0.0005,43.531392097473145
15,2.851905406100079,0.6503363153309498,6.154258866911953,0.9985502085899466,0.5590325568511353,0.6115862533530607,0.0008342768607353555,0.7460568295114656,0.0005,43.35690879821777
16,2.84822426258939,0.6475900023886301,6.149175468000394,0.9985860644248038,0.5547413568563441,0.6157121720616362,0.0008342768607353555,0.7443469591226322,0.0005,43.52649402618408
17,2.8500827955968173,0.6488591907093826,6.151918027007464,0.9985042228924159,0.5551051585407136,0.6153633334536225,0.0008342768607353555,0.7444915254237288,0.0005,43.307066202163696
18,2.8489785194396973,0.6482062692781096,6.150136720786974,0.9986596902537344,0.5567789703663887,0.613751458506249,0.0008427898899265326,0.7451545363908275,0.00025,43.875407457351685
19,2.848247139199266,0.6477026198674174,6.1490637677387125,0.9986768512274447,0.5584786712620585,0.6121155257238401,0.0008427898899265326,0.7458325024925224,0.00025,43.371583223342896
20,2.849402955434855,0.6487044541581163,6.150450539820403,0.9986721804434304,0.5559025608994379,0.6145934827324889,0.0008427898899265326,0.7448055832502493,0.00025,43.32008457183838
